2025-05-18 20:23:23,899 |     INFO |                ui.gui_app | gui_app.py:522 | Connecting thread signals
2025-05-18 20:23:23,899 |     INFO |                ui.gui_app | gui_app.py:530 | Connected frame_processed signal
2025-05-18 20:23:23,900 |     INFO |                ui.gui_app | gui_app.py:536 | Connected processing_finished signal
2025-05-18 20:23:23,900 |     INFO |                ui.gui_app | gui_app.py:542 | Connected error_occurred signal
2025-05-18 20:23:23,900 |     INFO |                      root | main_window.py:851 | Video processing started successfully
2025-05-18 20:23:23,932 |     INFO |                ui.gui_app | gui_app.py:117 | Starting frame processing loop
2025-05-18 20:23:32,286 | CRITICAL |                      root | start_debug.py:278 | Unhandled exception:
Traceback (most recent call last):
  File "C:\Users\Hasbi Ash Shiddiqi\PycharmProjects\NanoDet\vehicle_counter\ui\gui_app.py", line 422, in update_ui
    def update_ui(self):
    
KeyboardInterrupt
2025-05-18 20:25:11,068 |     INFO |                      root | logger.py:115 | Log directory: C:\Users\Hasbi Ash Shiddiqi\PycharmProjects\NanoDet\vehicle_counter\logs
2025-05-18 20:25:11,069 |     INFO |                      root | start_debug.py:390 | MainWindow imported successfully in 0.27 seconds
2025-05-18 20:25:11,069 |     INFO |                      root | start_debug.py:64 | MEMORY SNAPSHOT (after_mainwindow_import): RSS: N/A, VMS: N/A
2025-05-18 20:25:11,070 |     INFO |                      root | start_debug.py:400 | Creating MainWindow instance...
2025-05-18 20:25:11,072 |     INFO |      utils.preset_manager | preset_manager.py:73 | Loaded information for 2 presets
2025-05-18 20:25:11,824 |     INFO |      utils.device_manager | device_manager.py:35 | OpenVINO version: 2025.1.0-18503-6fec06580ab-releases/2025/1
2025-05-18 20:25:11,825 |     INFO |      utils.device_manager | device_manager.py:36 | Available devices: ['CPU', 'GPU']
2025-05-18 20:25:11,847 |     INFO |      utils.preset_manager | preset_manager.py:73 | Loaded information for 2 presets
2025-05-18 20:25:11,848 |     INFO | ui.components.main_window | main_window.py:131 | Main window initialized
2025-05-18 20:25:11,855 |     INFO |                      root | start_debug.py:325 | Added video_processor_start method to MainWindow
2025-05-18 20:25:11,855 |     INFO |                      root | start_debug.py:408 | MainWindow instance created successfully
2025-05-18 20:25:11,856 |     INFO |                      root | start_debug.py:64 | MEMORY SNAPSHOT (after_mainwindow_create): RSS: N/A, VMS: N/A
2025-05-18 20:25:11,902 |     INFO |                      root | start_debug.py:433 | MainWindow displayed
2025-05-18 20:25:11,903 |     INFO |                      root | start_debug.py:64 | MEMORY SNAPSHOT (after_mainwindow_show): RSS: N/A, VMS: N/A
2025-05-18 20:25:11,905 |     INFO |                      root | start_debug.py:270 | Debug toolbar added
2025-05-18 20:25:11,905 |     INFO |                      root | start_debug.py:446 | Starting event loop...
2025-05-18 20:25:16,103 |     INFO |      utils.preset_manager | preset_manager.py:166 | Loaded preset from C:/Users/Hasbi Ash Shiddiqi/PycharmProjects/NanoDet/vehicle_counter/config/presets/gasibu.json
2025-05-18 20:25:18,981 |     INFO |                      root | main_window.py:827 | Starting video processing directly
2025-05-18 20:25:18,989 |     INFO |          core.roi_manager | roi_manager.py:54 | ROI Manager initialized
2025-05-18 20:25:28,318 |     INFO |              core.counter | counter.py:42 | Vehicle counter initialized
2025-05-18 20:25:28,319 |     INFO |                      root | main_window.py:835 | VehicleCounterGUI instance created
2025-05-18 20:25:28,340 |     INFO |              core.counter | counter.py:312 | Counter reset
2025-05-18 20:25:28,341 |     INFO |                ui.gui_app | gui_app.py:522 | Connecting thread signals
2025-05-18 20:25:28,341 |     INFO |                ui.gui_app | gui_app.py:530 | Connected frame_processed signal
2025-05-18 20:25:28,341 |     INFO |                ui.gui_app | gui_app.py:536 | Connected processing_finished signal
2025-05-18 20:25:28,342 |     INFO |                ui.gui_app | gui_app.py:542 | Connected error_occurred signal
2025-05-18 20:25:28,342 |     INFO |                      root | main_window.py:851 | Video processing started successfully
2025-05-18 20:25:28,367 |     INFO |                ui.gui_app | gui_app.py:117 | Starting frame processing loop
2025-05-18 20:26:00,548 |     INFO |                      root | logger.py:115 | Log directory: C:\Users\Hasbi Ash Shiddiqi\PycharmProjects\NanoDet\vehicle_counter\logs
2025-05-18 20:26:00,549 |     INFO |                      root | start_debug.py:390 | MainWindow imported successfully in 0.25 seconds
2025-05-18 20:26:00,550 |     INFO |                      root | start_debug.py:64 | MEMORY SNAPSHOT (after_mainwindow_import): RSS: N/A, VMS: N/A
2025-05-18 20:26:00,550 |     INFO |                      root | start_debug.py:400 | Creating MainWindow instance...
2025-05-18 20:26:00,552 |     INFO |      utils.preset_manager | preset_manager.py:73 | Loaded information for 2 presets
